Postal.Code,Count,Block,OnemapLongitude,OnemapLatitude
760174,56,174 ,103.831939137109,1.43739545335207
760280,30,280 ,103.836954484546,1.4385887342867
760114,26,114 ,103.827020312888,1.43413792566359
760162,21,162 ,103.832397917463,1.43305540741239
760283,20,283 ,103.839281992379,1.43949686296868
760101,16,101 ,103.827667722074,1.4305357538408
760130,11,130 ,103.831330838156,1.43352498091281
760167,10,167 ,103.832356503845,1.43661282967317
760126,10,126 ,103.830011887888,1.43350905989816
760277,10,277 ,103.836994608643,1.43791843653816
760123,10,123 ,103.831796919201,1.43457263947313
760156,10,156 ,103.833567756794,1.43188761932588
760175,10,175 ,103.832468232948,1.43760321425304
760135,9,135 ,103.831911841774,1.43224778185906
760124,9,124 ,103.831139296919,1.43459030044018
760118,9,118 ,103.828641482509,1.43598707842969
760128,9,128 ,103.831302218611,1.43387793728634
760173,9,173 ,103.831120689838,1.43706628176725
760107,9,107 ,103.827520197458,1.4322180811837
760166,8,166 ,103.831606580876,1.43628386057838
762115,8,115B,103.82711777039,1.43339605588677
760111,8,111 ,103.828617498413,1.43321263970177
760172,8,172 ,103.83109095206,1.43660111000642
760108,7,108 ,103.829071971177,1.43232355080911
760134,7,134 ,103.831410877391,1.43237650538302
760155,7,155 ,103.834255994974,1.43188685735306
760136,7,136 ,103.831436163973,1.43203129125603
760165,7,165 ,103.831783821967,1.43577180513264
760274,7,274 ,103.839039880371,1.4374586662622
760276,7,276 ,103.837838021643,1.43782287576482
760117,6,117 ,103.827699051305,1.43555874650871
760113,6,113 ,103.828873241093,1.43513580201461
760138,6,138 ,103.830614068732,1.43160991206918
760289,6,289 ,103.839005531098,1.44052449307012
760109,6,109 ,103.82864618104,1.43279905704561
760139,6,139 ,103.831319107107,1.43165616021317
760157,5,157 ,103.834091373479,1.43221790096871
760122,5,122 ,103.831124796378,1.43499758920055
760160,5,160 ,103.833430136379,1.43242172081036
760265,5,265 ,103.838677913372,1.43653310907952
760278,5,278 ,103.838226869973,1.43831415037996
760288,5,288 ,103.83762430993,1.43994549676732
760106,5,106 ,103.827452004212,1.43147861432349
760125,5,125 ,103.830439843368,1.4339506942268
760145,5,145 ,103.831855467796,1.43084061704702
760110,5,110 ,103.828993389444,1.43376057937716
760131,5,131 ,103.831684787748,1.43316260592868
760287,5,287 ,103.837771054041,1.4396248933909
760148,5,148 ,103.832337855178,1.43195018839118
760153,4,153 ,103.834264424083,1.43116848559462
760147,4,147 ,103.831829692469,1.4312806628618
760170,4,170 ,103.832777533108,1.43709558093348
760120,4,120 ,103.829347800986,1.43482138833722
760140,4,140 ,103.830601339189,1.43118625952732
760161,4,161 ,103.833132900961,1.4327862752601
760121,4,121 ,103.830142952357,1.43436897707941
760275,3,275 ,103.838690516562,1.43775877119441
760142,3,142 ,103.830625739006,1.43077763467929
761115,3,115A,103.827515443899,1.43331769000776
760115,3,115 ,103.827973678337,1.43456484461254
760271,3,271 ,103.840374104621,1.43778658440392
760132,3,132 ,103.831223954136,1.43277846415077
760143,3,143 ,103.831093779909,1.43100259364042
760269,3,269 ,103.840329022671,1.4371253783415
760281,3,281 ,103.837500561028,1.43896457843625
760159,3,159 ,103.834028314438,1.43279272238885
760151,3,151 ,103.83426814362,1.4308063369681
760133,3,133 ,103.830784110499,1.43255737199893
